Date,SP500,VIXCLS,DJIA,HY_BOND_IDX
2020-01-02,3257.85,12.47,28868.8,591.0
2020-01-03,3234.85,14.02,28634.88,594.04
2020-01-06,3246.28,13.85,28703.38,592.8
2020-01-07,3237.18,13.79,28583.68,592.01
2020-01-08,3253.05,13.45,28745.09,590.37
2020-01-09,3274.7,12.54,28956.9,591.63
2020-01-10,3265.35,12.56,28823.77,593.32
2020-01-13,3288.13,12.32,28907.05,592.65
2020-01-14,3283.15,12.39,28939.67,593.48
2020-01-15,3289.29,12.42,29030.22,594.65
2020-01-16,3316.81,12.32,29297.64,594.45
2020-01-17,3329.62,12.1,29348.1,594.13
2020-01-21,3320.79,12.85,29196.04,596.77
2020-01-22,3321.75,12.91,29186.27,597.07
2020-01-23,3325.54,12.98,29160.09,597.71
2020-01-24,3295.47,14.56,28989.73,599.67
2020-01-27,3243.63,18.23,28535.8,601.06
2020-01-28,3276.24,16.28,28722.85,600.12
2020-01-29,3273.4,16.39,28734.45,602.29
2020-01-30,3283.66,15.49,28859.44,602.92
2020-01-31,3225.52,18.84,28256.03,604.0
2020-02-03,3248.92,17.97,28399.81,604.19
2020-02-04,3297.59,16.05,28807.63,601.79
2020-02-05,3334.69,15.15,29290.85,600.93
2020-02-06,3345.78,14.96,29379.77,601.76
2020-02-07,3327.71,15.47,29102.51,604.16
2020-02-10,3352.09,15.04,29276.82,605.4
2020-02-11,3357.75,15.18,29276.34,604.09
2020-02-12,3379.45,13.74,29551.42,603.07
2020-02-13,3373.94,14.15,29423.31,603.5
2020-02-14,3380.16,13.68,29398.08,604.8
2020-02-18,3370.29,14.83,29232.19,606.04
2020-02-19,3386.15,14.38,29348.03,605.6
2020-02-20,3373.23,15.56,29219.98,606.76
2020-02-21,3337.75,17.08,28992.41,608.45
2020-02-24,3225.89,25.03,27960.8,609.98
2020-02-25,3128.21,27.85,27081.36,610.51
2020-02-26,3116.39,27.56,26957.59,610.6
2020-02-27,2978.76,39.16,25766.64,608.46
2020-02-28,2954.22,40.11,25409.36,611.66
2020-03-02,3090.23,33.42,26703.32,612.53
2020-03-03,3003.37,36.82,25917.41,616.29
2020-03-04,3130.12,31.99,27090.86,618.06
2020-03-05,3023.94,39.62,26121.28,619.21
2020-03-06,2972.37,41.94,25864.78,621.31
2020-03-09,2746.56,54.46,23851.02,610.75
2020-03-10,2882.23,47.3,25018.16,601.28
2020-03-11,2741.38,53.9,23553.22,595.03
2020-03-12,2480.64,75.47,21200.62,583.76
2020-03-13,2711.02,57.83,23185.62,579.13
2020-03-16,2386.13,82.69,20188.52,577.28
2020-03-17,2529.19,75.91,21237.38,560.99
2020-03-18,2398.1,76.45,19898.92,538.59
2020-03-19,2409.39,72.0,20087.19,527.48
2020-03-20,2304.92,66.04,19173.98,524.66
2020-03-23,2237.4,61.59,18591.93,525.21
2020-03-24,2447.33,61.67,20704.91,529.46
2020-03-25,2475.56,63.95,21200.55,536.7
2020-03-26,2630.07,61.0,22552.17,544.69
2020-03-27,2541.47,65.54,21636.78,548.82
2020-03-30,2626.65,57.08,22327.48,553.83
2020-03-31,2584.59,53.54,21917.16,557.44
2020-04-01,2470.5,57.06,20943.51,558.45
2020-04-02,2526.9,50.91,21413.44,558.12
2020-04-03,2488.65,46.8,21052.53,558.81
2020-04-06,2663.68,45.24,22679.99,557.55
2020-04-07,2659.41,46.7,22653.86,560.21
2020-04-08,2749.98,43.35,23433.57,562.45
2020-04-09,2789.82,41.67,23719.37,572.9
2020-04-13,2761.63,41.17,23390.77,578.91
2020-04-14,2846.06,37.76,23949.76,582.76
2020-04-15,2783.36,40.84,23504.35,585.72
2020-04-16,2799.55,40.11,23537.68,586.74
2020-04-17,2874.56,38.15,24242.49,586.22
2020-04-20,2823.16,43.83,23650.44,586.38
2020-04-21,2736.56,45.41,23018.88,586.42
2020-04-22,2799.31,41.98,23475.82,585.4
2020-04-23,2797.8,41.38,23515.26,587.17
2020-04-24,2836.74,35.93,23775.27,587.76
2020-04-27,2878.48,33.29,24133.78,586.1
2020-04-28,2863.39,33.57,24101.55,588.57
2020-04-29,2939.51,31.23,24633.86,589.58
2020-04-30,2912.43,34.15,24345.72,590.83
2020-05-01,2830.71,37.19,23723.69,589.52
2020-05-04,2842.74,35.97,23749.76,589.38
2020-05-05,2868.44,33.61,23883.09,589.35
2020-05-06,2848.42,34.12,23664.64,587.04
2020-05-07,2881.19,31.44,23875.89,589.51
2020-05-08,2929.8,27.98,24331.32,586.68
2020-05-11,2930.32,27.57,24221.99,584.67
2020-05-12,2870.12,33.04,23764.78,587.0
2020-05-13,2820.0,35.28,23247.97,588.48
2020-05-14,2852.5,32.61,23625.34,589.38
2020-05-15,2863.7,31.89,23685.42,589.34
2020-05-18,2953.91,29.3,24597.37,588.77
2020-05-19,2922.94,30.53,24206.86,592.45
2020-05-20,2971.61,27.99,24575.9,596.25
2020-05-21,2948.51,29.53,24474.12,597.84
2020-05-22,2955.45,28.16,24465.16,598.85
2020-05-26,2991.77,28.01,24995.11,599.56
2020-05-27,3036.13,27.62,25548.27,601.24
2020-05-28,3029.73,28.59,25400.64,601.64
2020-05-29,3044.31,27.51,25383.11,604.59
2020-06-01,3055.73,28.23,25475.02,605.01
2020-06-02,3080.82,26.84,25742.65,606.34
2020-06-03,3122.87,25.66,26269.89,606.97
2020-06-04,3112.35,25.81,26281.82,606.98
2020-06-05,3193.93,24.52,27110.98,608.9
2020-06-08,3232.39,25.81,27572.44,611.89
2020-06-09,3207.18,27.57,27272.3,612.56
2020-06-10,3190.14,27.57,26989.99,615.04
2020-06-11,3002.1,40.79,25128.17,614.54
2020-06-12,3041.31,36.09,25605.54,613.17
2020-06-15,3066.59,34.4,25763.16,612.74
2020-06-16,3124.74,33.67,26289.98,617.15
2020-06-17,3113.49,33.47,26119.61,618.21
2020-06-18,3115.34,32.94,26080.1,619.22
2020-06-19,3097.74,35.12,25871.46,619.86
2020-06-22,3117.86,31.77,26024.96,619.39
2020-06-23,3131.29,31.37,26156.1,619.59
2020-06-24,3050.33,33.84,25445.94,619.04
2020-06-25,3083.76,32.22,25745.6,618.62
2020-06-26,3009.05,34.73,25015.55,619.61
2020-06-29,3053.24,31.78,25595.8,619.58
2020-06-30,3100.29,30.43,25812.88,619.9
2020-07-01,3115.86,28.62,25734.97,620.18
2020-07-02,3130.01,27.68,25827.36,622.21
2020-07-06,3179.72,27.94,26287.03,623.44
2020-07-07,3145.32,29.43,25890.18,624.88
2020-07-08,3169.94,28.08,26067.28,624.92
2020-07-09,3152.05,29.26,25706.09,626.71
2020-07-10,3185.04,27.29,26075.3,625.28
2020-07-13,3155.22,32.19,26085.8,625.74
2020-07-14,3197.52,29.52,26642.59,626.76
2020-07-15,3226.56,27.76,26870.1,627.34
2020-07-16,3215.57,28.0,26734.71,628.6
2020-07-17,3224.73,25.68,26671.95,628.88
2020-07-20,3251.84,24.46,26680.87,630.47
2020-07-21,3257.3,24.84,26840.4,632.41
2020-07-22,3276.02,24.32,27005.84,633.73
2020-07-23,3235.66,26.08,26652.33,634.74
2020-07-24,3215.63,25.84,26469.89,634.13
2020-07-27,3239.41,24.74,26584.77,633.38
2020-07-28,3218.44,25.44,26379.28,634.26
2020-07-29,3258.44,24.1,26539.57,634.69
2020-07-30,3246.22,24.76,26313.65,636.13
2020-07-31,3271.12,24.46,26428.32,636.93
2020-08-03,3294.61,24.28,26664.4,636.63
2020-08-04,3306.51,23.76,26828.47,639.3
2020-08-05,3327.77,22.99,27201.52,639.25
2020-08-06,3349.16,22.65,27386.98,640.29
2020-08-07,3351.28,22.21,27433.48,639.74
2020-08-10,3360.47,22.13,27791.44,639.69
2020-08-11,3333.69,24.03,27686.91,636.73
2020-08-12,3380.35,22.28,27976.84,636.36
2020-08-13,3373.43,22.13,27896.72,634.51
2020-08-14,3372.85,22.05,27931.02,634.0
2020-08-17,3381.99,21.35,27844.91,634.67
2020-08-18,3389.78,21.51,27778.07,634.45
2020-08-19,3374.85,22.54,27692.88,634.12
2020-08-20,3385.51,22.72,27739.73,635.15
2020-08-21,3397.16,22.54,27930.33,635.4
2020-08-24,3431.28,22.37,28308.46,635.52
2020-08-25,3443.62,22.03,28248.44,634.22
2020-08-26,3478.73,23.27,28331.92,633.77
2020-08-27,3484.55,24.47,28492.27,631.49
2020-08-28,3508.01,22.96,28653.87,632.43
2020-08-31,3500.31,26.41,28430.05,634.55
2020-09-01,3526.65,26.12,28645.66,636.29
2020-09-02,3580.84,26.57,29100.5,638.06
2020-09-03,3455.06,33.6,28292.73,638.83
2020-09-04,3426.96,30.75,28133.31,634.26
2020-09-08,3331.84,31.46,27500.89,634.88
2020-09-09,3398.96,28.81,27940.47,634.19
2020-09-10,3339.19,29.71,27534.58,635.13
2020-09-11,3340.97,26.87,27665.64,635.61
2020-09-14,3383.54,25.85,27993.33,635.95
2020-09-15,3401.2,25.59,27995.6,636.02
2020-09-16,3385.49,26.04,28032.38,636.23
2020-09-17,3357.01,26.46,27901.98,636.24
2020-09-18,3319.47,25.83,27657.42,635.9
2020-09-21,3281.06,27.78,27147.7,635.89
2020-09-22,3315.57,26.86,27288.18,635.88
2020-09-23,3236.92,28.58,26763.13,634.59
2020-09-24,3246.59,28.51,26815.44,633.04
2020-09-25,3298.46,26.38,27173.96,631.92
2020-09-28,3351.6,26.19,27584.06,632.42
