Date,SP500,VIXCLS,DJIA,HY_BOND_IDX
2025-10-07,6801.669,16.977262,45386.098,662.0909
2025-10-08,6807.7837,17.239952,45385.34,662.77893
2025-10-09,6821.2,17.485613,45339.33,663.6088
2025-10-10,6835.4937,17.750357,45273.09,664.41815
2025-10-13,6849.8394,18.018562,45194.062,665.327
2025-10-14,6863.5854,18.286572,45098.566,666.1671
2025-10-15,6875.8657,18.568008,45001.26,666.99976
2025-10-16,6888.024,18.849478,44901.31,667.8125
2025-10-17,6900.0967,19.137169,44799.293,668.5865
2025-10-20,6911.454,19.44543,44698.273,669.3507
2025-10-21,6921.2124,19.772444,44609.953,670.12085
2025-10-22,6929.224,20.083632,44553.03,670.8254
2025-10-23,6937.089,20.396433,44492.48,671.49396
2025-10-24,6944.4277,20.710035,44432.0,672.12787
2025-10-27,6951.158,21.024075,44372.934,672.7263
2025-10-28,6957.321,21.337164,44315.86,673.2888
2025-10-29,6962.9136,21.648834,44261.56,673.81555
2025-10-30,6967.9863,21.958473,44209.914,674.30585
2025-10-31,6972.546,22.265287,44161.004,674.7599
2025-11-03,6976.587,22.568588,44114.83,675.1781
2025-11-04,6980.131,22.867714,44071.082,675.5596
2025-11-05,6983.247,23.162209,44029.137,675.9033
2025-11-06,6986.001,23.452076,43988.26,676.21063
2025-11-07,6988.386,23.737064,43948.676,676.4821
2025-11-10,6990.42,24.016989,43910.41,676.71826
2025-11-11,6992.1187,24.29168,43873.4,676.9194
2025-11-12,6993.505,24.561035,43837.566,677.08594
2025-11-13,6994.595,24.824984,43802.83,677.2186
2025-11-14,6995.41,25.083492,43769.08,677.318
2025-11-17,6995.967,25.33657,43736.242,677.3846
