Date,SP500,VIXCLS,DJIA,HY_BOND_IDX
2020-01-16,3320.3213,13.97698,29001.46,598.0946
2020-01-17,3328.4932,13.885224,29070.314,598.53326
2020-01-21,3338.152,13.766014,29151.451,598.7526
2020-01-22,3341.9326,14.018896,29179.275,599.1748
2020-01-23,3346.2834,14.198825,29209.975,599.6121
2020-01-24,3349.6099,14.343444,29226.455,600.15137
2020-01-27,3341.3489,15.088365,29157.709,600.6692
2020-01-28,3310.1594,17.053062,28915.18,600.6901
2020-01-29,3305.775,17.389162,28852.445,601.1407
2020-01-30,3303.665,17.662247,28806.945,601.9811
2020-01-31,3311.0645,17.409342,28838.217,603.13306
2020-02-03,3288.4663,18.630066,28645.324,603.76514
2020-02-04,3282.8406,18.915447,28564.781,604.6332
2020-02-05,3294.6494,18.261105,28628.82,605.44324
2020-02-06,3312.571,17.464472,28766.682,606.1341
2020-02-07,3329.9377,16.880192,28909.508,606.7247
2020-02-10,3340.4722,16.75168,28987.223,607.24817
2020-02-11,3353.794,16.515013,29088.836,607.7588
2020-02-12,3362.4075,16.434242,29157.887,608.09033
2020-02-13,3380.8252,15.805286,29301.938,608.3746
2020-02-14,3391.0112,15.630762,29377.34,608.5091
2020-02-18,3402.4734,15.381217,29461.0,608.588
2020-02-19,3402.3535,15.734486,29452.477,608.63727
2020-02-20,3406.622,15.737844,29471.33,608.84766
2020-02-21,3400.331,16.246063,29404.879,609.04315
2020-02-24,3384.76,17.195578,29269.121,609.18787
2020-02-25,3314.131,21.146816,28714.035,608.01544
2020-02-26,3243.433,24.703917,28106.238,606.71765
2020-02-27,3195.9272,26.698467,27649.262,606.21936
2020-02-28,3076.8342,32.852455,26651.578,603.5691
2020-03-02,2999.91,36.76503,25905.885,602.1051
2020-03-03,3008.0942,35.979527,25841.1,603.72754
2020-03-04,2992.5435,36.88684,25625.217,605.6224
2020-03-05,3033.719,34.933994,25865.357,609.537
2020-03-06,3009.8984,37.026646,25628.396,611.4411
2020-03-09,2985.4033,39.141335,25362.26,612.89154
2020-03-10,2863.66,46.108204,24344.41,608.9674
2020-03-11,2836.3853,46.847473,24060.766,606.243
2020-03-12,2765.493,50.25612,23429.984,601.2292
2020-03-13,2567.313,61.836826,21787.904,588.79565
2020-03-16,2558.736,60.36184,21647.844,583.6299
2020-03-17,2406.0095,70.39611,20355.617,573.0373
2020-03-18,2354.9932,72.62694,19888.688,565.2775
2020-03-19,2312.744,73.71194,19498.672,556.53357
2020-03-20,2311.7366,71.880585,19480.992,549.21155
2020-03-23,2344.035,67.84866,19668.576,544.6014
2020-03-24,2380.1162,63.39677,19880.254,541.78937
2020-03-25,2418.0693,60.394623,20183.97,541.0751
2020-03-26,2444.0293,59.546543,20416.322,540.65955
2020-03-27,2485.3662,58.027493,20830.19,541.6748
2020-03-30,2502.0688,59.00591,20953.18,543.05035
2020-03-31,2556.8662,56.41698,21395.68,546.17267
2020-04-01,2608.3003,53.5316,21772.148,550.7481
2020-04-02,2606.5803,53.494305,21746.166,553.3732
2020-04-03,2628.8384,50.95253,21885.371,557.12317
2020-04-06,2658.4229,47.86353,22069.133,560.79266
2020-04-07,2691.841,45.354626,22365.516,563.5322
2020-04-08,2695.2793,44.529083,22429.064,564.99084
2020-04-09,2716.3362,42.73856,22635.322,566.6005
2020-04-13,2745.3977,41.078293,22879.424,569.55115
2020-04-14,2764.1716,40.11018,23047.914,572.46173
2020-04-15,2805.8228,38.131332,23364.037,576.7019
2020-04-16,2813.85,38.40819,23430.912,579.69885
2020-04-17,2820.6458,38.456383,23488.162,582.0364
2020-04-20,2840.8958,37.723766,23660.086,584.4926
2020-04-21,2821.2285,39.80046,23516.594,584.85596
2020-04-22,2785.7,41.784325,23221.35,584.63916
2020-04-23,2780.9385,41.553207,23167.51,585.0849
2020-04-24,2780.487,41.14163,23150.996,586.03046
2020-04-27,2816.891,38.497135,23408.805,588.27313
2020-04-28,2859.2236,35.760406,23737.678,590.3388
2020-04-29,2885.5566,34.202854,23945.754,592.0812
2020-04-30,2921.1587,32.30974,24230.541,593.68884
2020-05-01,2923.6746,32.503284,24265.28,594.1119
2020-05-04,2895.4978,33.99168,24052.416,593.324
2020-05-05,2876.013,34.522034,23910.27,592.45526
2020-05-06,2875.2397,33.964752,23910.23,592.10736
2020-05-07,2865.1218,33.855885,23839.879,591.51605
2020-05-08,2877.185,32.656197,23921.121,591.9241
2020-05-11,2908.8335,30.434416,24165.025,592.85675
