Date,SP500,VIXCLS,DJIA,HY_BOND_IDX
2020-01-16,3352.1482,13.789135,29318.678,594.7536
2020-01-17,3362.93,13.625892,29398.523,595.2941
2020-01-21,3373.8938,13.474571,29485.121,595.52826
2020-01-22,3379.9438,13.654857,29533.568,596.00287
2020-01-23,3384.2732,13.819123,29567.955,596.4163
2020-01-24,3387.124,13.974809,29581.807,596.9062
2020-01-27,3381.5837,14.606327,29536.463,597.4849
2020-01-28,3357.296,16.317492,29350.273,597.68567
2020-01-29,3344.564,16.791414,29267.496,598.06055
2020-01-30,3336.6782,17.095125,29212.445,598.88947
2020-01-31,3338.0464,16.912197,29219.63,600.02386
2020-02-03,3321.8057,18.001574,29053.848,600.79016
2020-02-04,3313.151,18.375154,28964.822,601.7062
2020-02-05,3319.129,17.906431,28987.115,602.44165
2020-02-06,3336.22,17.176874,29096.33,603.17957
2020-02-07,3356.668,16.60879,29229.572,603.87634
2020-02-10,3371.3174,16.467003,29318.648,604.47424
2020-02-11,3386.2932,16.198792,29428.361,605.032
2020-02-12,3397.6897,16.123663,29496.494,605.32196
2020-02-13,3413.8538,15.578327,29620.225,605.467
2020-02-14,3424.9177,15.421848,29694.846,605.4747
2020-02-18,3433.612,15.197469,29772.395,605.38165
2020-02-19,3434.4988,15.472284,29780.047,605.3606
2020-02-20,3437.1663,15.492248,29794.307,605.4991
2020-02-21,3433.8508,15.919357,29747.53,605.7423
2020-02-24,3421.8044,16.73555,29645.28,605.9992
2020-02-25,3368.6663,20.171652,29214.303,605.22687
2020-02-26,3297.201,23.610615,28673.592,604.03125
2020-02-27,3235.416,25.751707,28211.69,603.39996
2020-02-28,3133.165,31.340616,27332.057,601.2508
2020-03-02,3044.7673,35.27769,26618.16,599.93365
2020-03-03,3023.927,34.89366,26455.2,601.4645
2020-03-04,3007.3804,35.659878,26214.809,603.79034
2020-03-05,3040.1077,33.874554,26389.293,608.1855
2020-03-06,3041.8435,35.491318,26234.43,611.0612
2020-03-09,3030.2935,37.413174,26054.887,613.1089
2020-03-10,2938.7507,43.88394,25183.229,609.33075
2020-03-11,2886.8845,45.45807,24799.85,605.25836
2020-03-12,2811.702,49.13044,24107.854,599.2844
2020-03-13,2649.307,59.772488,22590.838,586.8754
2020-03-16,2585.063,59.693623,22183.035,579.3536
2020-03-17,2463.1882,68.302155,20940.043,569.8078
2020-03-18,2390.861,70.912125,20340.29,560.9946
2020-03-19,2325.6384,72.47282,19752.176,551.41675
2020-03-20,2291.4363,71.2959,19493.373,543.7307
2020-03-23,2283.3914,67.959854,19471.453,539.32275
2020-03-24,2288.283,63.850395,19541.885,537.50555
2020-03-25,2334.1885,60.063866,19906.586,539.95056
2020-03-26,2379.4043,57.9875,20339.854,542.9333
2020-03-27,2436.836,55.53221,20918.986,546.4737
2020-03-30,2476.338,55.57548,21281.354,550.0875
2020-03-31,2521.0686,53.185745,21780.371,553.213
2020-04-01,2563.1907,50.667416,22161.43,557.3944
2020-04-02,2563.5981,50.66139,22152.871,559.55817
