Date,SP500,VIXCLS,DJIA,HY_BOND_IDX
2020-01-16,3340.9324,14.451339,29079.42,597.1648
2020-01-17,3350.1853,14.3347025,29139.58,597.56476
2020-01-21,3360.865,14.19667,29207.104,597.74005
2020-01-22,3365.4712,14.37116,29223.76,598.09753
2020-01-23,3370.6914,14.513177,29249.773,598.5112
2020-01-24,3374.3352,14.648166,29268.996,599.03625
2020-01-27,3369.0146,15.331439,29182.488,599.5418
2020-01-28,3345.3772,17.204384,28895.094,599.5127
2020-01-29,3337.7307,17.58262,28846.42,599.8913
2020-01-30,3333.2988,17.856483,28798.502,600.70105
2020-01-31,3338.1028,17.613508,28835.93,601.9206
2020-02-03,3321.1917,18.82338,28617.855,602.7057
2020-02-04,3313.6387,19.146772,28554.408,603.6247
2020-02-05,3321.85,18.628424,28636.666,604.50354
2020-02-06,3337.677,17.936258,28780.166,605.24976
2020-02-07,3353.4617,17.381516,28933.387,605.9206
2020-02-10,3363.3354,17.19932,29023.854,606.53015
2020-02-11,3376.7852,16.881939,29133.898,607.01166
2020-02-12,3387.1921,16.816544,29205.326,607.4027
2020-02-13,3404.277,16.226057,29356.4,607.7106
2020-02-14,3414.5205,16.076368,29429.305,607.8802
2020-02-18,3424.583,15.7939205,29516.377,607.904
2020-02-19,3426.3916,16.094189,29494.432,607.9122
2020-02-20,3430.2532,16.102827,29518.646,608.09766
2020-02-21,3425.7104,16.595064,29445.244,608.25323
2020-02-24,3412.9402,17.48189,29293.732,608.3457
2020-02-25,3358.0574,21.304121,28645.684,607.07495
2020-02-26,3291.4966,24.778013,28000.193,605.6247
2020-02-27,3238.9292,26.801819,27551.787,604.8773
2020-02-28,3136.862,32.957325,26422.639,602.13336
2020-03-02,3050.604,36.793407,25688.854,600.1493
2020-03-03,3036.5461,36.037445,25733.992,601.18286
2020-03-04,3020.8828,36.771904,25525.865,603.3778
2020-03-05,3052.845,34.704105,25861.402,607.50305
2020-03-06,3046.3691,36.636417,25556.25,610.19336
2020-03-09,3026.199,38.593594,25263.96,611.9869
2020-03-10,2926.9453,45.74119,24054.592,608.46686
2020-03-11,2870.867,47.105152,23857.027,604.5523
2020-03-12,2789.587,51.0042,23206.607,599.0661
2020-03-13,2608.9517,62.76602,21316.236,586.0594
2020-03-16,2536.509,61.77258,21567.088,578.1832
2020-03-17,2402.7935,71.29954,20058.707,567.5854
2020-03-18,2318.6836,73.76295,19831.346,558.23254
2020-03-19,2257.6536,75.422005,19596.885,549.5181
2020-03-20,2234.9224,74.09773,19845.562,542.23486
2020-03-23,2250.202,70.18053,20353.771,538.74133
2020-03-24,2285.364,65.53318,20851.104,537.7655
2020-03-25,2341.9304,61.935673,21293.229,538.6942
2020-03-26,2388.539,60.204422,21477.969,539.6413
2020-03-27,2442.4348,57.938824,21777.727,540.8348
2020-03-30,2480.4453,58.174965,21690.955,543.28906
2020-03-31,2533.4854,55.357018,21985.275,546.2162
2020-04-01,2591.9346,52.389893,22232.88,551.3715
