Date,SP500,VIXCLS,DJIA,HY_BOND_IDX
2024-04-23,5070.55,15.69,38503.69,574.07
2024-04-24,5071.63,15.97,38460.92,572.57
2024-04-25,5048.42,15.37,38085.8,570.34
2024-04-26,5099.96,15.03,38239.66,572.3
2024-04-29,5116.17,14.67,38386.09,574.67
2024-04-30,5035.69,15.65,37815.92,572.14
2024-05-01,5018.39,15.39,37903.29,574.06
2024-05-02,5064.2,14.68,38225.66,576.76
2024-05-03,5127.79,13.49,38675.68,580.2
2024-05-06,5180.74,13.49,38852.27,581.64
2024-05-07,5187.7,13.23,38884.26,582.87
2024-05-08,5187.67,13.0,39056.39,581.32
2024-05-09,5214.08,12.69,39387.76,582.25
2024-05-10,5222.68,12.55,39512.84,580.59
2024-05-13,5221.42,13.6,39431.51,581.34
2024-05-14,5246.68,13.42,39558.11,582.86
2024-05-15,5308.15,12.45,39908.0,587.03
2024-05-16,5297.1,12.42,39869.38,586.52
2024-05-17,5303.27,11.99,40003.59,585.3
2024-05-20,5308.13,12.15,39806.77,585.14
2024-05-21,5321.41,11.86,39872.99,586.28
2024-05-22,5307.01,12.29,39671.04,585.56
2024-05-23,5267.84,12.77,39065.26,583.56
2024-05-24,5304.72,11.93,39069.59,584.24
2024-05-28,5306.04,12.92,38852.86,581.91
2024-05-29,5266.95,14.28,38441.54,579.23
2024-05-30,5235.48,14.47,38111.48,581.95
2024-05-31,5277.51,12.92,38686.32,584.49
2024-06-03,5283.4,13.11,38571.03,588.0
2024-06-04,5291.34,13.16,38711.29,590.34
2024-06-05,5354.03,12.63,38807.33,591.64
2024-06-06,5352.96,12.58,38886.17,591.39
2024-06-07,5346.99,12.22,38798.99,586.45
2024-06-10,5360.79,12.74,38868.04,585.52
2024-06-11,5375.32,12.85,38747.42,588.03
2024-06-12,5421.03,12.04,38712.21,591.18
2024-06-13,5433.74,11.94,38647.1,594.11
2024-06-14,5431.6,12.66,38589.16,594.03
2024-06-17,5473.23,12.75,38778.1,591.5
2024-06-18,5487.03,12.3,38834.86,593.97
2024-06-19,5487.03,12.48,38834.86,594.05
2024-06-20,5473.17,13.28,39134.76,592.48
2024-06-21,5464.62,13.2,39150.33,592.31
2024-06-24,5447.87,13.33,39411.21,593.33
2024-06-25,5469.3,12.84,39112.16,593.62
2024-06-26,5477.9,12.55,39127.8,590.11
2024-06-27,5482.87,12.24,39164.06,591.53
2024-06-28,5460.48,12.44,39118.86,588.89
2024-07-01,5475.09,12.22,39169.52,585.95
2024-07-02,5509.01,12.03,39331.85,588.32
2024-07-03,5537.02,12.09,39308.0,592.08
2024-07-05,5567.19,12.48,39375.87,595.13
2024-07-08,5572.85,12.37,39344.79,595.74
2024-07-09,5576.98,12.51,39291.97,594.88
2024-07-10,5633.91,12.85,39721.36,595.45
2024-07-11,5584.54,12.92,39753.75,598.55
2024-07-12,5615.35,12.46,40000.9,599.96
2024-07-15,5631.22,13.12,40211.72,598.58
2024-07-16,5667.2,13.19,40954.48,600.67
2024-07-17,5588.27,14.48,41198.08,600.89
2024-07-18,5544.59,15.93,40665.02,599.31
2024-07-19,5505.0,16.52,40287.53,597.79
2024-07-22,5564.41,14.91,40415.44,597.65
2024-07-23,5555.74,14.72,40358.09,597.73
2024-07-24,5427.13,18.04,39853.87,595.8
2024-07-25,5399.22,18.46,39935.07,596.85
2024-07-26,5459.1,16.39,40589.34,599.43
2024-07-29,5463.54,16.6,40539.93,600.62
2024-07-30,5436.44,17.69,40743.33,601.34
2024-07-31,5522.3,16.36,40842.79,604.92
2024-08-01,5446.68,18.59,40347.97,606.6
2024-08-02,5346.56,23.39,39737.26,612.01
2024-08-05,5186.33,38.57,38703.27,609.97
2024-08-06,5240.03,27.71,38997.66,607.1
2024-08-07,5199.5,27.85,38763.45,605.8
2024-08-08,5319.31,23.79,39446.49,605.26
2024-08-09,5344.16,20.37,39497.54,607.74
2024-08-12,5344.39,20.71,39357.01,609.24
2024-08-13,5434.43,18.12,39765.64,611.91
2024-08-14,5455.21,16.19,40008.39,613.67
2024-08-15,5543.22,15.23,40563.06,612.07
2024-08-16,5554.25,14.8,40659.76,613.24
2024-08-19,5608.25,14.65,40896.53,614.54
2024-08-20,5597.12,15.88,40834.97,616.18
2024-08-21,5620.85,16.27,40890.49,617.34
2024-08-22,5570.64,17.55,40712.78,615.22
2024-08-23,5634.61,15.86,41175.08,617.95
2024-08-26,5616.84,16.15,41240.52,617.85
2024-08-27,5625.8,15.43,41250.5,617.51
2024-08-28,5592.18,17.11,41091.42,617.04
2024-08-29,5591.96,15.65,41335.05,616.18
2024-08-30,5648.4,15.0,41563.08,614.48
2024-09-03,5528.93,20.72,40936.93,617.13
2024-09-04,5520.07,21.32,40974.97,619.9
2024-09-05,5503.41,19.9,40755.75,621.38
2024-09-06,5408.42,22.38,40345.41,622.02
2024-09-09,5471.05,19.45,40829.59,623.1
2024-09-10,5495.52,19.08,40736.96,624.91
2024-09-11,5554.13,17.69,40861.71,624.43
2024-09-12,5595.76,17.07,41096.77,624.1
2024-09-13,5626.02,16.56,41393.78,625.7
2024-09-16,5633.09,17.14,41622.08,627.76
2024-09-17,5634.58,17.61,41606.18,627.43
2024-09-18,5618.26,18.23,41503.1,625.56
2024-09-19,5713.64,16.33,42025.19,626.52
2024-09-20,5702.55,16.15,42063.36,626.14
2024-09-23,5718.57,15.89,42124.65,626.26
2024-09-24,5732.93,15.39,42208.22,627.3
2024-09-25,5722.26,15.41,41914.75,625.04
2024-09-26,5745.37,15.37,42175.11,624.7
2024-09-27,5738.17,16.96,42313.0,626.68
2024-09-30,5762.48,16.73,42330.15,625.48
2024-10-01,5708.75,19.26,42156.97,627.58
2024-10-02,5709.54,18.9,42196.52,626.68
