Date,SP500,VIXCLS,DJIA,HY_BOND_IDX
2025-09-30,6682.307,16.89613,45300.746,660.0711
2025-10-01,6682.6797,17.238298,45188.754,660.3035
2025-10-02,6685.3906,17.522533,45065.754,660.59753
2025-10-03,6686.128,17.797384,44926.36,660.9173
2025-10-06,6685.932,18.060478,44776.785,661.2416
2025-10-07,6683.811,18.313044,44618.11,661.53186
2025-10-08,6683.586,18.563135,44455.605,661.7694
2025-10-09,6684.8213,18.802322,44294.812,662.0009
2025-10-10,6686.7686,19.031874,44130.23,662.18536
2025-10-13,6689.372,19.22238,43965.156,662.4058
2025-10-14,6691.1523,19.38068,43798.684,662.58575
2025-10-15,6691.2905,19.524832,43668.438,662.695
2025-10-16,6691.489,19.65082,43540.363,662.7908
2025-10-17,6691.669,19.759424,43415.523,662.87506
2025-10-20,6691.931,19.851427,43294.81,662.94855
2025-10-21,6692.3125,19.927467,43178.746,663.01263
2025-10-22,6692.8794,19.98843,43067.645,663.06903
2025-10-23,6693.499,20.034784,42961.785,663.11914
2025-10-24,6694.09,20.06716,42861.344,663.1647
2025-10-27,6694.5933,20.086498,42766.535,663.20685
2025-10-28,6695.014,20.093712,42677.664,663.2476
2025-10-29,6695.4067,20.089964,42594.773,663.28876
2025-10-30,6695.848,20.075956,42516.477,663.33295
2025-10-31,6696.334,20.052423,42442.805,663.3812
2025-11-03,6696.866,20.020021,42373.727,663.43494
2025-11-04,6697.445,19.979391,42309.17,663.4953
2025-11-05,6698.064,19.931139,42249.066,663.56323
2025-11-06,6698.7207,19.875847,42193.312,663.6399
2025-11-07,6699.4155,19.814081,42141.766,663.7262
2025-11-10,6700.1562,19.746405,42094.316,663.823
