Date,SP500,VIXCLS,DJIA,HY_BOND_IDX
2025-10-02,6659.068,17.846264,45483.11,657.8927
2025-10-03,6645.553,18.708912,45281.074,657.43726
2025-10-06,6631.722,19.570024,45064.156,656.72394
2025-10-07,6615.569,20.455656,44823.816,655.7833
2025-10-08,6599.112,21.349854,44569.215,654.5981
2025-10-09,6583.396,22.26826,44307.902,653.264
2025-10-10,6567.6587,23.205795,44037.812,651.75507
2025-10-13,6552.1787,24.14454,43763.656,650.1355
2025-10-14,6534.966,25.06624,43485.34,648.3182
2025-10-15,6517.119,25.983128,43203.96,646.362
2025-10-16,6498.823,26.877932,42924.86,644.25085
2025-10-17,6480.229,27.77973,42659.07,641.9544
2025-10-20,6461.1953,28.674358,42393.27,639.50116
2025-10-21,6441.7104,29.560677,42128.242,636.8944
2025-10-22,6421.772,30.438757,41864.832,634.1361
2025-10-23,6401.3184,31.308693,41603.695,631.2294
2025-10-24,6380.222,32.169926,41345.312,628.1759
2025-10-27,6358.385,33.021976,41090.184,624.9776
2025-10-28,6335.7065,33.863842,40838.86,621.6364
2025-10-29,6312.1953,34.694862,40591.81,618.1559
2025-10-30,6287.7827,35.513786,40349.543,614.5394
2025-10-31,6262.4297,36.319218,40112.582,610.7918
2025-11-03,6236.077,37.10958,39881.023,606.91846
2025-11-04,6208.667,37.883167,39655.438,602.92505
2025-11-05,6180.1504,38.638,39436.414,598.81793
2025-11-06,6150.481,39.371933,39224.582,594.60443
2025-11-07,6119.624,40.082573,39020.508,590.2927
2025-11-10,6087.556,40.767307,38824.81,585.89185
2025-11-11,6054.269,41.42335,38638.07,581.41205
2025-11-12,6019.77,42.04771,38460.883,576.8644
