Date,SP500,VIXCLS,DJIA,HY_BOND_IDX
2024-04-30,5098.287,16.01717,38342.004,574.58716
2024-05-01,5086.9434,16.31201,38274.332,574.4095
2024-05-02,5080.2456,16.384035,38224.59,574.4706
2024-05-03,5085.4097,16.103542,38246.004,575.1576
2024-05-06,5107.931,15.4030075,38363.164,576.6433
2024-05-07,5131.9507,14.963489,38493.203,578.4059
2024-05-08,5154.3643,14.586798,38622.61,580.2465
2024-05-09,5171.428,14.305326,38742.434,581.53467
2024-05-10,5191.2114,14.03359,38893.492,582.7071
2024-05-13,5205.6855,13.85271,39031.098,583.2765
2024-05-14,5209.364,14.237359,39086.71,583.50275
2024-05-15,5221.423,14.38716,39178.19,583.77435
2024-05-16,5251.7915,14.029611,39357.652,584.87964
2024-05-17,5274.3853,13.857069,39506.605,585.84686
2024-05-20,5295.854,13.571385,39653.1,586.584
2024-05-21,5309.0527,13.502268,39733.105,587.0699
2024-05-22,5324.71,13.33568,39816.844,587.6134
2024-05-23,5330.499,13.467516,39826.973,587.81555
2024-05-24,5324.057,13.790151,39722.867,587.4304
2024-05-28,5329.397,13.564117,39654.62,587.26746
2024-05-29,5321.4424,13.89754,39505.164,586.4516
2024-05-30,5298.991,14.695866,39260.516,584.92035
2024-05-31,5280.4224,15.21073,39020.125,583.95404
2024-06-03,5287.1987,14.763608,38965.824,584.00946
2024-06-04,5292.9287,14.581033,38909.168,584.957
2024-06-05,5300.4326,14.438443,38897.01,586.4262
2024-06-06,5319.45,14.039856,38937.285,588.25635
2024-06-07,5334.781,13.8068695,38979.973,589.8624
2024-06-10,5345.782,13.560466,39014.203,590.3326
2024-06-11,5350.249,13.657958,39008.035,590.26465
2024-06-12,5355.2734,13.756624,38990.12,590.3364
2024-06-13,5373.2085,13.430767,39024.793,590.9658
2024-06-14,5393.2637,13.211214,39066.07,592.0497
2024-06-17,5404.5938,13.384458,39049.117,593.0048
2024-06-18,5418.594,13.495795,39051.71,593.3605
2024-06-19,5438.854,13.380375,39080.01,594.07
2024-06-20,5453.419,13.40766,39100.754,594.66766
2024-06-21,5458.404,13.802707,39104.586,594.7468
2024-06-24,5463.624,14.015836,39119.215,594.74097
2024-06-25,5465.533,14.225984,39154.15,594.812
2024-06-26,5473.872,14.11187,39198.883,594.9895
2024-06-27,5481.3022,13.915663,39254.137,594.6134
2024-06-28,5491.2,13.667444,39317.08,594.49554
2024-07-01,5491.5776,13.649141,39342.77,593.8222
2024-07-02,5490.165,13.531934,39356.63,592.71906
2024-07-03,5496.774,13.351129,39400.4,592.13196
2024-07-05,5508.179,13.236481,39452.86,592.31775
2024-07-08,5521.0024,13.295194,39491.36,593.1224
2024-07-09,5535.953,13.273964,39538.44,594.1204
2024-07-10,5548.842,13.34079,39552.766,594.9035
2024-07-11,5565.8545,13.491292,39612.047,595.6581
2024-07-12,5577.0615,13.678098,39672.55,596.7946
2024-07-15,5596.796,13.556411,39789.66,598.15735
2024-07-16,5609.0845,13.803079,39878.42,599.0286
2024-07-17,5626.4497,13.945977,40043.26,600.1081
2024-07-18,5622.8853,14.710289,40167.04,600.7471
2024-07-19,5604.5605,15.830597,40179.664,600.64136
2024-07-22,5581.7437,16.756424,40142.0,600.0274
2024-07-23,5585.6377,16.493876,40223.285,599.75366
2024-07-24,5587.178,16.298307,40293.04,599.597
2024-07-25,5541.6187,17.767366,40115.25,598.45917
2024-07-26,5506.964,18.716932,39983.258,597.49274
2024-07-29,5506.4805,18.23608,40075.023,597.7167
2024-07-30,5501.579,18.06729,40145.168,598.37744
2024-07-31,5486.3936,18.413902,40171.11,599.079
2024-08-01,5501.7397,17.872597,40290.406,600.69653
2024-08-02,5486.39,18.676704,40242.332,602.00354
2024-08-05,5430.904,21.338654,39937.543,603.1274
2024-08-06,5254.518,29.894638,38909.535,600.773
2024-08-07,5241.0444,29.421116,38796.074,600.37445
2024-08-08,5218.427,29.54723,38646.066,600.2294
2024-08-09,5252.7783,27.43745,38832.473,601.23096
2024-08-12,5308.542,24.568197,39147.15,603.5506
2024-08-13,5342.5835,23.024715,39335.188,605.8092
2024-08-14,5398.3794,20.781637,39617.914,608.6416
2024-08-15,5451.1704,18.645756,39922.445,611.6634
2024-08-16,5501.8804,17.003025,40215.664,613.8402
2024-08-19,5539.198,16.02248,40424.344,615.3048
2024-08-20,5557.0513,15.586023,40526.426,615.79407
2024-08-21,5568.379,15.964749,40572.2,616.4192
2024-08-22,5579.4595,16.413324,40599.066,616.8317
2024-08-23,5571.054,17.360489,40532.184,616.5613
2024-08-26,5595.022,17.07446,40645.9,617.1225
2024-08-27,5608.212,17.165329,40735.176,617.49585
2024-08-28,5626.4814,16.871115,40858.41,617.9717
2024-08-29,5624.0845,17.52641,40855.094,617.99524
2024-08-30,5633.569,17.188002,40948.2,618.09753
2024-09-03,5650.1543,16.693129,41072.68,618.01886
2024-09-04,5600.798,19.150871,40816.05,617.1989
2024-09-05,5568.415,20.674582,40651.008,616.71844
2024-09-06,5556.2285,20.908663,40602.69,617.03973
