Date,SP500,VIXCLS,DJIA,HY_BOND_IDX
2024-05-07,5144.3745,14.914204,38515.86,578.01215
2024-05-08,5163.558,14.478692,38658.023,579.8272
2024-05-09,5183.101,14.273357,38762.605,580.9614
2024-05-10,5207.119,14.05523,38902.496,582.1469
2024-05-13,5228.356,13.987569,39012.992,582.65656
2024-05-14,5237.6,14.410227,39041.516,582.9264
2024-05-15,5253.2017,14.571077,39121.445,583.32086
2024-05-16,5281.15,14.110176,39325.11,584.6881
2024-05-17,5302.106,13.9304695,39460.727,585.6504
2024-05-20,5323.597,13.704623,39588.914,586.2517
2024-05-21,5336.3535,13.701517,39644.695,586.61176
2024-05-22,5349.9766,13.556864,39717.477,587.103
2024-05-23,5355.6387,13.753405,39700.535,587.2243
2024-05-24,5349.4067,14.225182,39551.383,586.62006
2024-05-28,5353.3477,14.109316,39482.824,586.4556
2024-05-29,5346.697,14.553249,39322.375,585.6378
2024-05-30,5327.5903,15.468596,39056.09,584.0141
2024-05-31,5305.5356,15.93916,38826.395,583.06116
2024-06-03,5306.7476,15.357246,38831.09,583.2882
2024-06-04,5304.09,14.967558,38822.785,584.4486
2024-06-05,5303.81,14.639611,38853.973,586.01373
2024-06-06,5315.7095,14.134862,38944.246,587.82294
2024-06-07,5328.0757,13.898579,39002.6,589.27185
2024-06-10,5343.393,13.8806925,39007.246,589.3757
2024-06-11,5354.154,14.141743,38981.184,589.1997
2024-06-12,5362.0845,14.2866125,38959.56,589.39606
2024-06-13,5377.979,13.956053,39012.09,590.2615
2024-06-14,5391.497,13.66801,39067.383,591.5275
2024-06-17,5399.086,13.824352,39050.23,592.47784
2024-06-18,5413.706,13.99893,39057.65,592.6794
2024-06-19,5431.0435,13.84182,39103.336,593.3391
2024-06-20,5443.716,13.86233,39124.895,593.8462
2024-06-21,5452.7344,14.2691555,39118.223,593.8283
2024-06-24,5463.723,14.527095,39119.312,593.7983
2024-06-25,5471.533,14.725261,39147.117,593.9779
2024-06-26,5480.492,14.639211,39187.297,594.1762
2024-06-27,5490.5493,14.59873,39224.53,593.66583
2024-06-28,5498.858,14.369691,39285.547,593.56616
2024-07-01,5500.7134,14.430751,39285.996,592.79913
2024-07-02,5504.378,14.444512,39283.086,591.6472
2024-07-03,5510.608,14.206374,39346.12,591.2584
2024-07-05,5516.054,13.920532,39430.133,591.71246
2024-07-08,5521.846,13.784082,39505.91,592.7266
2024-07-09,5530.8,13.664519,39570.508,593.6743
2024-07-10,5540.1636,13.724109,39586.457,594.2416
2024-07-11,5556.3774,13.834149,39667.273,594.93396
2024-07-12,5566.4053,13.928746,39723.64,596.03827
2024-07-15,5584.2676,13.742777,39849.227,597.37537
2024-07-16,5600.547,14.021343,39927.883,598.20483
2024-07-17,5625.015,14.115461,40108.746,599.4813
2024-07-18,5631.916,14.81321,40199.164,600.18286
2024-07-19,5622.8076,15.975815,40151.69,599.92163
2024-07-22,5606.9536,17.023802,40057.453,599.0576
2024-07-23,5612.567,16.906317,40135.215,598.7105
2024-07-24,5613.8413,16.816021,40189.09,598.61926
2024-07-25,5574.029,18.341442,39937.707,597.446
2024-07-26,5542.1494,19.227158,39789.55,596.47656
2024-07-29,5539.767,18.612234,39933.555,596.91315
2024-07-30,5532.297,18.328058,40028.426,597.80225
2024-07-31,5517.7793,18.550905,40067.496,598.61017
2024-08-01,5527.5913,17.884281,40242.74,600.3429
2024-08-02,5508.9644,18.592863,40174.414,601.6021
2024-08-05,5451.9204,20.972555,39829.652,602.7209
2024-08-06,5301.284,29.084377,38692.984,600.13367
2024-08-07,5292.4834,28.950552,38639.812,598.5812
2024-08-08,5272.3535,29.35952,38482.69,598.2213
2024-08-09,5302.011,27.544283,38738.523,599.318
2024-08-12,5345.3394,24.888063,39099.867,601.96484
2024-08-13,5369.1777,23.46595,39292.38,604.59686
2024-08-14,5414.41,21.306725,39623.254,607.74976
2024-08-15,5459.1123,19.255621,39945.51,610.9777
2024-08-16,5509.499,17.741533,40250.273,613.29486
2024-08-19,5546.218,16.750788,40447.33,614.8047
2024-08-20,5564.919,16.177618,40554.723,615.3338
2024-08-21,5578.3853,16.451746,40576.09,616.00385
2024-08-22,5591.6914,16.807312,40589.582,616.4114
2024-08-23,5591.3535,17.796719,40472.797,615.9562
2024-08-26,5616.305,17.474056,40604.07,616.54706
2024-08-27,5630.6606,17.53283,40678.87,616.92456
2024-08-28,5648.152,17.271412,40789.914,617.31165
2024-08-29,5647.341,17.933138,40751.086,617.27325
2024-08-30,5659.547,17.683971,40833.027,617.254
2024-09-03,5679.317,17.310854,40959.63,617.19995
2024-09-04,5637.3945,19.59237,40645.508,616.6016
2024-09-05,5608.487,20.900131,40483.535,616.16187
